,"perplexity: 10, early_exaggeration: 4.0, learning_rate: 250, metric: correlation, init: pca", , 
,tSNE 1,tSNE 2,HDBSCAN label
N357Barcode_720-516,46.74079895019531,33.8957633972168,8.0
N357Barcode_716-507,-31.592998504638672,42.350914001464844,9.0
N357Barcode_706-522,34.034645080566406,-44.035980224609375,16.0
N357Barcode_715-516,-26.54861831665039,16.67963218688965,14.0
N357Barcode_703-511,42.93166732788086,31.045989990234375,8.0
N357Barcode_721-515,7.594598293304443,-50.354896545410156,0.0
N357Barcode_712-516,10.726445198059082,-4.413722515106201,24.0
N357Barcode_711-507,35.76915740966797,-21.200563430786133,17.0
N357Barcode_729-505,36.543609619140625,-36.688297271728516,16.0
N357Barcode_706-510,12.148529052734375,-23.41267967224121,29.0
N357Barcode_714-506,46.0849494934082,39.88637924194336,8.0
N357Barcode_720-505,42.67971420288086,-37.744903564453125,16.0
N357Barcode_718-507,0.4515767991542816,-23.982711791992188,25.0
N357Barcode_710-517,33.485530853271484,51.435951232910156,5.0
N357Barcode_720-502,6.6834564208984375,-47.58609390258789,0.0
N357Barcode_702-506,16.5928955078125,13.46294116973877,7.0
N357Barcode_721-520,-0.13529349863529205,-4.434642791748047,18.0
N357Barcode_719-522,3.7884414196014404,23.30738639831543,12.0
N357Barcode_710-510,-24.839454650878906,-24.404436111450195,10.0
N357Barcode_701-517,11.133808135986328,-3.5250589847564697,24.0
N357Barcode_720-508,-60.94915008544922,4.018969535827637,3.0
N357Barcode_723-513,-32.76569747924805,4.780523777008057,13.0
N357Barcode_727-508,-23.90781021118164,14.446944236755371,14.0
N357Barcode_706-517,21.376089096069336,43.38996124267578,20.0
N357Barcode_724-513,-19.815589904785156,22.793001174926758,14.0
N357Barcode_727-502,13.904082298278809,16.43352699279785,7.0
N357Barcode_705-506,-60.76354217529297,5.223513126373291,3.0
N357Barcode_726-520,-24.139780044555664,-24.802928924560547,10.0
N357Barcode_729-508,49.305145263671875,34.915306091308594,8.0
N357Barcode_712-511,-24.10108757019043,-26.218734741210938,10.0
N357Barcode_729-502,-34.263973236083984,1.3317582607269287,13.0
N357Barcode_723-521,-58.364994049072266,-23.736249923706055,2.0
N357Barcode_722-503,41.7142219543457,27.966360092163086,8.0
N357Barcode_710-522,-18.83431625366211,13.082466125488281,14.0
N357Barcode_728-520,-8.08394718170166,-37.26542282104492,22.0
N357Barcode_721-518,-10.623370170593262,-59.568843841552734,1.0
N357Barcode_726-518,-30.191638946533203,44.587703704833984,9.0
N357Barcode_707-507,-12.623205184936523,-63.9383430480957,1.0
N357Barcode_704-516,5.486303329467773,-47.62537384033203,0.0
N357Barcode_711-521,46.41126251220703,30.921981811523438,8.0
N357Barcode_710-503,-32.620582580566406,49.16684341430664,9.0
N357Barcode_722-522,47.249305725097656,33.61405563354492,8.0
N357Barcode_718-513,-59.49231719970703,3.0715110301971436,3.0
N357Barcode_720-511,-59.10582733154297,-21.29520606994629,2.0
N357Barcode_702-515,-15.197183609008789,-65.78263854980469,1.0
N357Barcode_716-521,-11.80244255065918,-60.27145004272461,1.0
N357Barcode_714-518,-18.402450561523438,-19.980695724487305,11.0
N357Barcode_722-510,-26.918603897094727,4.124813079833984,13.0
N357Barcode_729-511,15.644317626953125,-22.226661682128906,29.0
N357Barcode_711-513,-56.99089050292969,-21.2421817779541,2.0
N357Barcode_718-521,-19.6014347076416,21.008567810058594,14.0
N357Barcode_712-502,-65.70543670654297,3.684767246246338,3.0
N357Barcode_703-505,13.964397430419922,-20.78367805480957,29.0
N357Barcode_719-503,-30.69548988342285,46.92974090576172,9.0
N357Barcode_715-502,-7.545712471008301,-63.71084976196289,1.0
N357Barcode_704-505,36.23276138305664,-18.61286735534668,17.0
N357Barcode_714-520,44.19180679321289,28.533979415893555,8.0
N357Barcode_716-513,-64.26458740234375,5.240512847900391,3.0
